2024-01-30 22:01:991 INFO  ManageBrowser :30 - launching chrome browser
2024-01-30 22:01:377 INFO  LoginPage :31 - Click on signup button Proxy element for: DefaultElementLocator 'By.linkText: Sign Up'
2024-01-30 22:01:677 WARN  FileSystemFontProvider :607 - New fonts found, font cache will be re-built
2024-01-30 22:01:678 WARN  FileSystemFontProvider :360 - Building on-disk font cache, this may take a while
2024-01-30 22:01:282 WARN  FileSystemFontProvider :363 - Finished building on-disk font cache, found 455 fonts
2024-01-30 22:01:718 INFO  ManageBrowser :30 - launching chrome browser
2024-01-30 22:01:606 INFO  LoginPage :31 - Click on signup button [[ChromeDriver: chrome on windows (21afa193e1d06238a8c09d93fda69b24)] -> css selector: .buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-30 22:01:827 INFO  ManageBrowser :30 - launching chrome browser
2024-01-30 22:01:103 INFO  LoginPage :31 - Click on signup button [[ChromeDriver: chrome on windows (7cacb97a1feea0438c98519a9f9f2a4f)] -> css selector: body.en-gb.brand-id-16.has-scroll-bars:nth-child(2) div.site-wrapper:nth-child(3) div.center-content div.site-header div.site-header__user-details > a.buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-30 22:01:940 INFO  ManageBrowser :30 - launching chrome browser
2024-01-30 22:01:449 INFO  LoginPage :31 - Click on signup button [[ChromeDriver: chrome on windows (07c936c310de02c6c021da62003afd95)] -> css selector: .buttons__login_bar--create-account.bvs-button.is-primary]
2024-01-30 22:01:58 INFO  ManageBrowser :30 - launching chrome browser
2024-01-30 22:01:964 INFO  LoginPage :31 - Click on signup button [[ChromeDriver: chrome on windows (3b90ef16fc4f74158a4af5863f60b835)] -> xpath: //a[contains(text(),'Sign Up')]]
2024-01-30 22:01:848 INFO  ManageBrowser :30 - launching chrome browser
2024-01-30 22:01:489 INFO  LoginPage :31 - Click on signup button [[ChromeDriver: chrome on windows (1c4537e25fc07756e74bb5b5471ff5f6)] -> xpath: //a[@class='buttons__login_bar--create-account bvs-button is-primary']]
2024-01-30 22:01:54 INFO  ManageBrowser :30 - launching chrome browser
2024-01-30 22:01:610 INFO  LoginPage :31 - Click on signup button [[ChromeDriver: chrome on windows (47da14d2d49be013865c26492161b4bc)] -> xpath: //a[contains(text(),'Log In')]]
2024-01-30 22:01:528 INFO  ManageBrowser :30 - launching chrome browser
2024-01-30 22:01:875 INFO  LoginPage :31 - Click on signup button [[ChromeDriver: chrome on windows (d891e2378265091e9a8632128c6b4167)] -> xpath: //a[contains(text(),'Sign Up')]]
2024-01-30 22:01:850 INFO  ManageBrowser :30 - launching chrome browser
2024-01-30 22:01:83 INFO  LoginPage :32 - Click on signup button [[ChromeDriver: chrome on windows (2c4d8d0ea21932a4b67d5e0cdc158755)] -> xpath: //a[contains(text(),'Sign Up')]]
2024-01-30 22:01:219 INFO  ManageBrowser :30 - launching chrome browser
